iter	Logloss
0	0.6526003562
1	0.6194343752
2	0.5919295925
3	0.5695923238
4	0.5509797737
5	0.5350942328
6	0.5224983467
7	0.5114900975
8	0.502382191
9	0.4947773572
10	0.4879984657
11	0.4823611864
12	0.4776688405
13	0.4739445943
14	0.470635212
15	0.4677106278
16	0.4653314281
17	0.4633513032
18	0.4616531715
19	0.4602665196
20	0.4591543961
21	0.4582686658
22	0.4573414442
23	0.4566146322
24	0.4560770766
25	0.4555462345
26	0.4550552819
27	0.4546407349
28	0.4544173778
29	0.4541708137
30	0.4538885518
31	0.4536984351
32	0.4535518893
33	0.4533320798
34	0.4531772741
35	0.4530274214
36	0.4529346032
37	0.4528288709
38	0.4527655611
39	0.4526898515
40	0.4525825853
41	0.4525700515
42	0.4525031892
43	0.4524441074
44	0.4523885579
45	0.4523169568
46	0.4522925944
47	0.4522199361
48	0.452172639
49	0.4521410369
50	0.4521145181
51	0.4520993044
52	0.4520745928
53	0.4520226349
54	0.4520029589
55	0.4519750622
56	0.451936088
57	0.4519070307
58	0.451879754
59	0.4518633675
60	0.4518637383
61	0.4518503066
62	0.4518320322
63	0.4518238496
64	0.4518084139
65	0.4517945977
66	0.4517681288
67	0.4517567193
68	0.451756867
69	0.4517305308
70	0.4517148584
71	0.4516980452
72	0.4516926573
73	0.4516804091
74	0.4516592091
75	0.4516532596
76	0.4516431736
77	0.4516325133
78	0.4516230644
79	0.4516167469
80	0.4516061739
81	0.451596327
82	0.4515918133
83	0.4515828884
84	0.4515787623
85	0.4515758023
86	0.4515639345
87	0.4515601034
88	0.4515476651
89	0.4515401467
90	0.4515219377
91	0.4515102487
92	0.451505276
93	0.4515057201
94	0.4514952636
95	0.4514873285
96	0.4514693132
97	0.45145899
98	0.451452058
99	0.4514499986
