iter	Passed	Remaining
0	75	7493
1	99	4862
2	116	3782
3	138	3329
4	152	2892
5	170	2668
6	189	2518
7	207	2389
8	225	2275
9	243	2191
10	260	2107
11	274	2014
12	290	1941
13	306	1885
14	324	1838
15	340	1787
16	358	1752
17	375	1711
18	394	1681
19	410	1642
20	427	1609
21	443	1573
22	463	1551
23	483	1530
24	503	1511
25	522	1487
26	539	1459
27	557	1433
28	577	1412
29	594	1387
30	610	1359
31	678	1442
32	715	1452
33	774	1504
34	829	1540
35	879	1563
36	918	1563
37	968	1580
38	981	1534
39	992	1489
40	1004	1445
41	1016	1404
42	1028	1362
43	1040	1324
44	1051	1284
45	1063	1248
46	1077	1214
47	1089	1179
48	1099	1144
49	1111	1111
50	1123	1079
51	1137	1050
52	1153	1023
53	1169	996
54	1183	968
55	1195	939
56	1208	911
57	1219	883
58	1230	855
59	1243	829
60	1255	802
61	1267	776
62	1278	750
63	1290	725
64	1301	700
65	1313	676
66	1324	652
67	1335	628
68	1345	604
69	1357	581
70	1369	559
71	1382	537
72	1393	515
73	1405	493
74	1418	472
75	1433	452
76	1444	431
77	1456	410
78	1469	390
79	1481	370
80	1492	350
81	1504	330
82	1514	310
83	1527	290
84	1538	271
85	1550	252
86	1562	233
87	1574	214
88	1587	196
89	1598	177
90	1610	159
91	1622	141
92	1633	122
93	1644	104
94	1656	87
95	1667	69
96	1677	51
97	1689	34
98	1701	17
99	1714	0
